,work_year,salary_in_usd,clusters,cluster
0,2023,95012,3,dark purple
1,2023,186000,0,light pink
2,2023,81800,3,dark purple
3,2023,212000,0,light pink
4,2023,93300,3,dark purple
5,2023,130000,1,pink
6,2023,100000,3,dark purple
7,2023,224400,0,light pink
8,2023,138700,1,pink
9,2023,210000,0,light pink
10,2023,168000,0,light pink
11,2023,224400,0,light pink
12,2023,138700,1,pink
13,2023,43064,3,dark purple
14,2023,36912,3,dark purple
15,2023,95000,3,dark purple
16,2023,75000,3,dark purple
17,2023,300000,2,purple
18,2023,234000,0,light pink
19,2023,140000,1,pink
20,2023,120000,1,pink
21,2023,204500,0,light pink
22,2023,142200,1,pink
23,2023,155000,1,pink
24,2023,110000,1,pink
25,2023,266500,2,purple
26,2023,152000,1,pink
27,2023,222200,0,light pink
28,2023,136000,1,pink
29,2023,273400,2,purple
30,2023,182200,0,light pink
31,2023,167500,0,light pink
32,2023,106500,1,pink
33,2023,185900,0,light pink
34,2023,129300,1,pink
35,2023,185000,0,light pink
36,2023,79600,3,dark purple
37,2023,122000,1,pink
38,2023,94500,3,dark purple
39,2023,247300,2,purple
40,2023,139700,1,pink
41,2023,176000,0,light pink
42,2023,100000,3,dark purple
43,2023,204500,0,light pink
44,2023,142200,1,pink
45,2023,247600,2,purple
46,2023,127300,1,pink
47,2023,223400,0,light pink
48,2023,186200,0,light pink
49,2023,167500,0,light pink
50,2023,106500,1,pink
51,2023,185900,0,light pink
52,2023,129300,1,pink
53,2023,72000,3,dark purple
54,2023,64000,3,dark purple
55,2023,179820,0,light pink
56,2023,143860,1,pink
57,2023,283050,2,purple
58,2023,188700,0,light pink
59,2023,133000,1,pink
60,2023,58400,3,dark purple
61,2023,141298,1,pink
62,2023,115607,1,pink
63,2023,100000,3,dark purple
64,2023,75000,3,dark purple
65,2023,266500,2,purple
66,2023,144400,1,pink
67,2023,71363,3,dark purple
68,2023,55368,3,dark purple
69,2023,287500,2,purple
70,2023,156000,1,pink
71,2023,90000,3,dark purple
72,2023,70000,3,dark purple
73,2023,199000,0,light pink
74,2023,162000,1,pink
75,2023,170884,0,light pink
76,2023,113923,1,pink
77,2023,184000,0,light pink
78,2023,123000,1,pink
79,2023,235750,2,purple
80,2023,174250,0,light pink
81,2023,165000,0,light pink
82,2023,118800,1,pink
83,2023,225000,0,light pink
84,2023,150000,1,pink
85,2023,213900,0,light pink
86,2023,116800,1,pink
87,2023,220000,0,light pink
88,2023,150000,1,pink
89,2023,150000,1,pink
90,2023,100000,3,dark purple
91,2023,247500,2,purple
92,2023,172200,0,light pink
93,2023,155000,1,pink
94,2023,120000,1,pink
95,2023,226700,0,light pink
96,2023,133300,1,pink
97,2023,184000,0,light pink
98,2023,123000,1,pink
99,2023,130000,1,pink
100,2023,117000,1,pink
101,2023,160000,1,pink
102,2023,140000,1,pink
103,2023,166000,0,light pink
104,2023,73000,3,dark purple
105,2023,185900,0,light pink
106,2023,129300,1,pink
107,2023,130000,1,pink
108,2023,104000,1,pink
109,2023,143000,1,pink
110,2023,116000,1,pink
111,2023,165000,0,light pink
112,2023,118800,1,pink
113,2023,220000,0,light pink
114,2023,180000,0,light pink
115,2023,184000,0,light pink
116,2023,123000,1,pink
117,2023,215000,0,light pink
118,2023,200000,0,light pink
119,2023,253000,2,purple
120,2023,131000,1,pink
121,2023,220000,0,light pink
122,2023,176000,0,light pink
123,2023,49216,3,dark purple
124,2023,36912,3,dark purple
125,2023,210000,0,light pink
126,2023,147000,1,pink
127,2023,186000,0,light pink
128,2023,161000,1,pink
129,2023,205000,0,light pink
130,2023,152000,1,pink
131,2023,220000,0,light pink
132,2023,190000,0,light pink
133,2023,205000,0,light pink
134,2023,152000,1,pink
135,2023,137000,1,pink
136,2023,110000,1,pink
137,2023,172000,0,light pink
138,2023,146000,1,pink
139,2023,148000,1,pink
140,2023,99000,3,dark purple
141,2023,150000,1,pink
142,2023,130000,1,pink
143,2023,105000,1,pink
144,2023,99000,3,dark purple
145,2023,52500,3,dark purple
146,2023,180514,0,light pink
147,2023,108308,1,pink
148,2023,210000,0,light pink
149,2023,147000,1,pink
150,2023,290300,2,purple
151,2023,196685,0,light pink
152,2023,220000,0,light pink
153,2023,176000,0,light pink
154,2023,175000,0,light pink
155,2023,130000,1,pink
156,2023,185000,0,light pink
157,2023,150000,1,pink
158,2023,145000,1,pink
159,2023,115000,1,pink
160,2023,133000,1,pink
161,2023,58300,3,dark purple
162,2023,115000,1,pink
163,2023,95000,3,dark purple
164,2023,110244,1,pink
165,2023,39372,3,dark purple
166,2023,43187,3,dark purple
167,2023,31310,3,dark purple
168,2023,92280,3,dark purple
169,2023,67672,3,dark purple
170,2023,92280,3,dark purple
171,2023,67672,3,dark purple
172,2023,75577,3,dark purple
173,2023,303387,2,purple
174,2023,100017,3,dark purple
175,2023,230300,0,light pink
176,2023,140000,1,pink
177,2023,124935,1,pink
178,2023,76050,3,dark purple
179,2023,224800,0,light pink
180,2023,131100,1,pink
181,2023,258000,2,purple
182,2023,171000,0,light pink
183,2023,196000,0,light pink
184,2023,121000,1,pink
185,2023,195800,0,light pink
186,2023,171500,0,light pink
187,2023,166000,0,light pink
188,2023,73100,3,dark purple
189,2023,220000,0,light pink
190,2023,160000,1,pink
191,2023,85000,3,dark purple
192,2023,65000,3,dark purple
193,2023,220000,0,light pink
194,2023,100000,3,dark purple
195,2023,185000,0,light pink
196,2023,152000,1,pink
197,2023,220000,0,light pink
198,2023,100000,3,dark purple
199,2023,48585,3,dark purple
200,2023,38868,3,dark purple
201,2023,220000,0,light pink
202,2023,100000,3,dark purple
203,2023,220000,0,light pink
204,2023,100000,3,dark purple
205,2023,220000,0,light pink
206,2023,100000,3,dark purple
207,2023,110000,1,pink
208,2023,80000,3,dark purple
209,2023,36912,3,dark purple
210,2023,150200,1,pink
211,2023,71000,3,dark purple
212,2023,167200,0,light pink
213,2023,121000,1,pink
214,2023,133000,1,pink
215,2023,58400,3,dark purple
216,2023,135000,1,pink
217,2023,110000,1,pink
218,2023,104584,1,pink
219,2023,73824,3,dark purple
220,2023,187415,0,light pink
221,2023,114080,1,pink
222,2023,187415,0,light pink
223,2023,114080,1,pink
224,2023,166000,0,light pink
225,2023,73100,3,dark purple
226,2023,306400,2,purple
227,2023,168700,0,light pink
228,2023,187415,0,light pink
229,2023,114080,1,pink
230,2023,32974,3,dark purple
231,2023,32974,3,dark purple
232,2023,165000,0,light pink
233,2023,140000,1,pink
234,2023,150000,1,pink
235,2023,167000,0,light pink
236,2023,121000,1,pink
237,2023,185000,0,light pink
238,2023,79600,3,dark purple
239,2023,190200,0,light pink
240,2023,95100,3,dark purple
241,2023,133000,1,pink
242,2023,58400,3,dark purple
243,2023,90000,3,dark purple
244,2023,70000,3,dark purple
245,2023,166000,0,light pink
246,2023,73100,3,dark purple
247,2023,135000,1,pink
248,2023,100000,3,dark purple
249,2023,180514,0,light pink
250,2023,108308,1,pink
251,2023,294000,2,purple
252,2023,192000,0,light pink
253,2023,266000,2,purple
254,2023,167000,0,light pink
255,2023,200000,0,light pink
256,2023,150000,1,pink
257,2023,163800,0,light pink
258,2023,88200,3,dark purple
259,2023,180400,0,light pink
260,2023,138800,1,pink
261,2023,67672,3,dark purple
262,2023,55368,3,dark purple
263,2023,319000,2,purple
264,2023,206000,0,light pink
265,2023,215000,0,light pink
266,2023,142000,1,pink
267,2023,266000,2,purple
268,2023,167000,0,light pink
269,2023,140130,1,pink
270,2023,84870,3,dark purple
271,2023,178300,0,light pink
272,2023,105400,1,pink
273,2023,222200,0,light pink
274,2023,136000,1,pink
275,2023,215000,0,light pink
276,2023,142000,1,pink
277,2023,240000,2,purple
278,2023,210000,0,light pink
279,2023,122000,1,pink
280,2023,94500,3,dark purple
281,2023,150000,1,pink
282,2023,116000,1,pink
283,2023,90000,3,dark purple
284,2023,145000,1,pink
285,2023,128000,1,pink
286,2023,154000,1,pink
287,2023,126000,1,pink
288,2023,240000,2,purple
289,2023,157250,1,pink
290,2023,219650,0,light pink
291,2023,136000,1,pink
292,2023,150000,1,pink
293,2023,180000,0,light pink
294,2023,125000,1,pink
295,2023,247600,2,purple
296,2023,127300,1,pink
297,2023,60000,3,dark purple
298,2023,55000,3,dark purple
299,2023,250000,2,purple
300,2023,125000,1,pink
301,2023,190000,0,light pink
302,2023,170000,0,light pink
303,2023,202600,0,light pink
304,2023,168800,0,light pink
305,2023,132000,1,pink
306,2023,111000,1,pink
307,2023,203000,0,light pink
308,2023,127000,1,pink
309,2023,125009,1,pink
310,2023,83339,3,dark purple
311,2023,112200,1,pink
312,2023,91800,3,dark purple
313,2023,200000,0,light pink
314,2023,160000,1,pink
315,2023,161952,1,pink
316,2023,185000,0,light pink
317,2023,150000,1,pink
318,2023,160000,1,pink
319,2023,130000,1,pink
320,2023,145000,1,pink
321,2023,115000,1,pink
322,2023,133000,1,pink
323,2023,58300,3,dark purple
324,2023,254000,2,purple
325,2023,159000,1,pink
326,2023,170000,0,light pink
327,2023,85000,3,dark purple
328,2023,130500,1,pink
329,2023,116000,1,pink
330,2023,81400,3,dark purple
331,2023,43500,3,dark purple
332,2023,169000,0,light pink
333,2023,92000,3,dark purple
334,2023,166000,0,light pink
335,2023,73100,3,dark purple
336,2023,190000,0,light pink
337,2023,165000,0,light pink
338,2023,305600,2,purple
339,2023,146600,1,pink
340,2023,150000,1,pink
341,2023,120000,1,pink
342,2023,275000,2,purple
343,2023,146400,1,pink
344,2023,208500,0,light pink
345,2023,165000,0,light pink
346,2023,258700,2,purple
347,2023,172500,0,light pink
348,2023,150000,1,pink
349,2023,130000,1,pink
350,2023,185000,0,light pink
351,2023,150000,1,pink
352,2023,166000,0,light pink
353,2023,73100,3,dark purple
354,2023,198200,0,light pink
355,2023,110200,1,pink
356,2023,166000,0,light pink
357,2023,73100,3,dark purple
358,2023,212000,0,light pink
359,2023,93300,3,dark purple
360,2023,212000,0,light pink
361,2023,93300,3,dark purple
362,2023,166000,0,light pink
363,2023,73100,3,dark purple
364,2023,167100,0,light pink
365,2023,111400,1,pink
366,2023,133000,1,pink
367,2023,58400,3,dark purple
368,2023,166000,0,light pink
369,2023,73100,3,dark purple
370,2023,170000,0,light pink
371,2023,145000,1,pink
372,2023,212000,0,light pink
373,2023,93300,3,dark purple
374,2023,170000,0,light pink
375,2023,135000,1,pink
376,2023,145000,1,pink
377,2023,115000,1,pink
378,2023,139810,1,pink
379,2023,95325,3,dark purple
380,2023,278700,2,purple
381,2023,159300,1,pink
382,2023,226700,0,light pink
383,2023,151100,1,pink
384,2023,247300,2,purple
385,2023,139700,1,pink
386,2023,188000,0,light pink
387,2023,139000,1,pink
388,2023,150000,1,pink
389,2023,160000,1,pink
390,2023,94000,3,dark purple
391,2023,127000,1,pink
392,2023,65000,3,dark purple
393,2023,276000,2,purple
394,2023,174000,0,light pink
395,2023,260000,2,purple
396,2023,136000,1,pink
397,2023,250000,2,purple
398,2023,210000,0,light pink
399,2023,188000,0,light pink
400,2023,139000,1,pink
401,2023,238000,2,purple
402,2023,176000,0,light pink
403,2023,204500,0,light pink
404,2023,142200,1,pink
405,2023,212000,0,light pink
406,2023,190000,0,light pink
407,2023,261500,2,purple
408,2023,134500,1,pink
409,2023,239000,2,purple
410,2023,122900,1,pink
411,2023,115000,1,pink
412,2023,95000,3,dark purple
413,2023,158500,1,pink
414,2023,115000,1,pink
415,2023,331640,2,purple
416,2023,267720,2,purple
417,2023,180000,0,light pink
418,2023,90000,3,dark purple
419,2023,83000,3,dark purple
420,2023,66000,3,dark purple
421,2023,224250,0,light pink
422,2023,121550,1,pink
423,2023,166000,0,light pink
424,2023,73100,3,dark purple
425,2023,141298,1,pink
426,2023,115607,1,pink
427,2023,109000,1,pink
428,2023,100000,3,dark purple
429,2023,205400,0,light pink
430,2023,92900,3,dark purple
431,2023,220000,0,light pink
432,2023,130000,1,pink
433,2023,160000,1,pink
434,2023,110000,1,pink
435,2023,230000,0,light pink
436,2023,100000,3,dark purple
437,2023,186030,0,light pink
438,2023,110200,1,pink
439,2023,130000,1,pink
440,2023,100000,3,dark purple
441,2023,242000,2,purple
442,2023,106200,1,pink
443,2023,220000,0,light pink
444,2023,120000,1,pink
445,2023,258000,2,purple
446,2023,171000,0,light pink
447,2023,91200,3,dark purple
448,2023,58200,3,dark purple
449,2023,192000,0,light pink
450,2023,178000,0,light pink
451,2023,210000,0,light pink
452,2023,130000,1,pink
453,2023,160000,1,pink
454,2023,150000,1,pink
455,2023,260000,2,purple
456,2023,136000,1,pink
457,2023,206000,0,light pink
458,2023,134000,1,pink
459,2023,180000,0,light pink
460,2023,135000,1,pink
461,2023,200000,0,light pink
462,2023,120000,1,pink
463,2023,212000,0,light pink
464,2023,93300,3,dark purple
465,2023,106700,1,pink
466,2023,57700,3,dark purple
467,2023,266400,2,purple
468,2023,173300,0,light pink
469,2023,125000,1,pink
470,2023,100000,3,dark purple
471,2023,165600,0,light pink
472,2023,65800,3,dark purple
473,2023,210400,0,light pink
474,2023,170500,0,light pink
475,2023,212000,0,light pink
476,2023,93300,3,dark purple
477,2023,170000,0,light pink
478,2023,160000,1,pink
479,2023,185400,0,light pink
480,2023,81536,3,dark purple
481,2023,193000,0,light pink
482,2023,158000,1,pink
483,2023,170000,0,light pink
484,2023,100000,3,dark purple
485,2023,222200,0,light pink
486,2023,136000,1,pink
487,2023,148000,1,pink
488,2023,99000,3,dark purple
489,2023,204500,0,light pink
490,2023,142200,1,pink
491,2023,95000,3,dark purple
492,2023,75000,3,dark purple
493,2023,115000,1,pink
494,2023,105000,1,pink
495,2023,195800,0,light pink
496,2023,161900,1,pink
497,2023,90000,3,dark purple
498,2023,80000,3,dark purple
499,2023,192500,0,light pink
500,2023,140000,1,pink
501,2023,100000,3,dark purple
502,2023,75000,3,dark purple
503,2023,169000,0,light pink
504,2023,91000,3,dark purple
505,2023,216600,0,light pink
506,2023,144400,1,pink
507,2023,150000,1,pink
508,2023,120000,1,pink
509,2023,133000,1,pink
510,2023,58400,3,dark purple
511,2023,166000,0,light pink
512,2023,73100,3,dark purple
513,2023,166000,0,light pink
514,2023,73100,3,dark purple
515,2023,336300,2,purple
516,2023,179000,0,light pink
517,2023,296400,2,purple
518,2023,159600,1,pink
519,2023,212000,0,light pink
520,2023,93300,3,dark purple
521,2023,204500,0,light pink
522,2023,142200,1,pink
523,2023,258500,2,purple
524,2023,226500,0,light pink
525,2023,247250,2,purple
526,2023,118400,1,pink
527,2023,160000,1,pink
528,2023,140000,1,pink
529,2023,212000,0,light pink
530,2023,93400,3,dark purple
531,2023,172256,0,light pink
532,2023,123040,1,pink
533,2023,219000,0,light pink
534,2023,132000,1,pink
535,2023,130500,1,pink
536,2023,116000,1,pink
537,2023,323300,2,purple
538,2023,184700,0,light pink
539,2023,250000,2,purple
540,2023,200000,0,light pink
541,2023,136000,1,pink
542,2023,91000,3,dark purple
543,2023,185900,0,light pink
544,2023,129300,1,pink
545,2023,143000,1,pink
546,2023,78000,3,dark purple
547,2023,135000,1,pink
548,2023,110000,1,pink
549,2023,142000,1,pink
550,2023,102200,3,dark purple
551,2023,137500,1,pink
552,2023,81500,3,dark purple
553,2023,202000,0,light pink
554,2023,147000,1,pink
555,2023,140000,1,pink
556,2023,125000,1,pink
557,2023,170625,0,light pink
558,2023,127950,1,pink
559,2023,123040,1,pink
560,2023,86128,3,dark purple
561,2023,85256,3,dark purple
562,2023,71615,3,dark purple
563,2023,100000,3,dark purple
564,2023,100000,3,dark purple
565,2023,185000,0,light pink
566,2023,125000,1,pink
567,2023,60000,3,dark purple
568,2023,52000,3,dark purple
569,2023,300000,2,purple
570,2023,260000,2,purple
571,2023,225000,0,light pink
572,2023,170000,0,light pink
573,2023,100000,3,dark purple
574,2023,80000,3,dark purple
575,2023,204500,0,light pink
576,2023,142200,1,pink
577,2023,135000,1,pink
578,2023,100000,3,dark purple
579,2023,297300,2,purple
580,2023,198200,0,light pink
581,2023,240000,2,purple
582,2023,190000,0,light pink
583,2023,185000,0,light pink
584,2023,79600,3,dark purple
585,2023,222200,0,light pink
586,2023,136000,1,pink
587,2023,110000,1,pink
588,2023,95000,3,dark purple
589,2023,324000,2,purple
590,2023,159000,1,pink
591,2023,207700,0,light pink
592,2023,133700,1,pink
593,2023,71000,3,dark purple
594,2023,57000,3,dark purple
595,2023,222200,0,light pink
596,2023,136000,1,pink
597,2023,200000,0,light pink
598,2023,150000,1,pink
599,2023,59000,3,dark purple
600,2023,50000,3,dark purple
601,2023,234000,0,light pink
602,2023,208000,0,light pink
603,2023,187000,0,light pink
604,2023,128000,1,pink
605,2023,202000,0,light pink
606,2023,147000,1,pink
607,2023,50000,3,dark purple
608,2023,64781,3,dark purple
609,2023,57223,3,dark purple
610,2023,21000,3,dark purple
611,2023,135000,1,pink
612,2023,120000,1,pink
613,2023,150000,1,pink
614,2023,140000,1,pink
615,2023,190000,0,light pink
616,2023,165000,0,light pink
617,2023,280000,2,purple
618,2023,190000,0,light pink
619,2023,212000,0,light pink
620,2023,190000,0,light pink
621,2023,43064,3,dark purple
622,2023,43064,3,dark purple
623,2023,245700,2,purple
624,2023,132300,1,pink
625,2023,90000,3,dark purple
626,2023,80000,3,dark purple
627,2023,212000,0,light pink
628,2023,93300,3,dark purple
629,2023,212000,0,light pink
630,2023,93300,3,dark purple
631,2023,276000,2,purple
632,2023,174000,0,light pink
633,2023,133000,1,pink
634,2023,58300,3,dark purple
635,2023,145640,1,pink
636,2023,84400,3,dark purple
637,2023,300000,2,purple
638,2023,195000,0,light pink
639,2023,190000,0,light pink
640,2023,107500,1,pink
641,2023,105000,1,pink
642,2023,75000,3,dark purple
643,2023,140000,1,pink
644,2023,98000,3,dark purple
645,2023,204500,0,light pink
646,2023,142200,1,pink
647,2023,236160,2,purple
648,2023,159408,1,pink
649,2023,115000,1,pink
650,2023,85000,3,dark purple
651,2023,145000,1,pink
652,2023,120000,1,pink
653,2023,120350,1,pink
654,2023,74400,3,dark purple
655,2023,158494,1,pink
656,2023,88052,3,dark purple
657,2023,181500,0,light pink
658,2023,127000,1,pink
659,2023,300000,2,purple
660,2023,260000,2,purple
661,2023,258000,2,purple
662,2023,171000,0,light pink
663,2023,25000,3,dark purple
664,2023,200000,0,light pink
665,2023,150000,1,pink
666,2023,225300,0,light pink
667,2023,197400,0,light pink
668,2023,205500,0,light pink
669,2023,128500,1,pink
670,2023,191600,0,light pink
671,2023,125600,1,pink
672,2023,245700,2,purple
673,2023,132300,1,pink
674,2023,130410,1,pink
675,2023,92000,3,dark purple
676,2023,183900,0,light pink
677,2023,108800,1,pink
678,2023,275000,2,purple
679,2023,121200,1,pink
680,2023,166000,0,light pink
681,2023,73100,3,dark purple
682,2023,231250,0,light pink
683,2023,111000,1,pink
684,2023,300000,2,purple
685,2023,130000,1,pink
686,2023,210500,0,light pink
687,2023,105300,1,pink
688,2023,158400,1,pink
689,2023,85800,3,dark purple
690,2023,305600,2,purple
691,2023,146600,1,pink
692,2023,180400,0,light pink
693,2023,138800,1,pink
694,2023,258700,2,purple
695,2023,172500,0,light pink
696,2023,156100,1,pink
697,2023,100400,3,dark purple
698,2023,134200,1,pink
699,2023,103200,3,dark purple
700,2023,105000,1,pink
701,2023,85000,3,dark purple
702,2023,220000,0,light pink
703,2023,160000,1,pink
704,2023,110000,1,pink
705,2023,95000,3,dark purple
706,2023,95400,3,dark purple
707,2023,57800,3,dark purple
708,2023,110000,1,pink
709,2023,86000,3,dark purple
710,2023,125000,1,pink
711,2023,87500,3,dark purple
712,2023,185000,0,light pink
713,2023,79600,3,dark purple
714,2023,275000,2,purple
715,2023,170000,0,light pink
716,2023,133200,1,pink
717,2023,84000,3,dark purple
718,2023,171000,0,light pink
719,2023,93000,3,dark purple
720,2023,216450,0,light pink
721,2023,123750,1,pink
722,2023,212800,0,light pink
723,2023,124100,1,pink
724,2023,205000,0,light pink
725,2023,166000,0,light pink
726,2023,231650,0,light pink
727,2023,189100,0,light pink
728,2023,160000,1,pink
729,2023,120000,1,pink
730,2023,156100,1,pink
731,2023,100400,3,dark purple
732,2023,266875,2,purple
733,2023,128250,1,pink
734,2023,158600,1,pink
735,2023,115300,1,pink
736,2023,225300,0,light pink
737,2023,197400,0,light pink
738,2023,109900,1,pink
739,2023,61200,3,dark purple
740,2023,161000,1,pink
741,2023,75000,3,dark purple
742,2023,166000,0,light pink
743,2023,73100,3,dark purple
744,2023,138510,1,pink
745,2023,95490,3,dark purple
746,2023,150000,1,pink
747,2023,110000,1,pink
748,2023,232200,0,light pink
749,2023,133300,1,pink
750,2023,121788,1,pink
751,2023,79032,3,dark purple
752,2023,178250,0,light pink
753,2023,110500,1,pink
754,2023,190000,0,light pink
755,2023,160000,1,pink
756,2023,216000,0,light pink
757,2023,184000,0,light pink
758,2023,166000,0,light pink
759,2023,104000,1,pink
760,2023,185000,0,light pink
761,2023,79600,3,dark purple
762,2023,230000,0,light pink
763,2023,196000,0,light pink
764,2023,184000,0,light pink
765,2023,123000,1,pink
766,2023,165600,0,light pink
767,2023,65800,3,dark purple
768,2023,186000,0,light pink
769,2023,81800,3,dark purple
770,2023,135000,1,pink
771,2023,82500,3,dark purple
772,2023,247250,2,purple
773,2023,160000,1,pink
774,2023,169000,0,light pink
775,2023,105500,1,pink
776,2023,195800,0,light pink
777,2023,161900,1,pink
778,2023,108500,1,pink
779,2023,78800,3,dark purple
780,2023,225000,0,light pink
781,2023,166000,0,light pink
782,2023,167500,0,light pink
783,2023,106500,1,pink
784,2023,160000,1,pink
785,2023,110000,1,pink
786,2023,120000,1,pink
787,2023,105000,1,pink
788,2023,110000,1,pink
789,2023,87500,3,dark purple
790,2023,60000,3,dark purple
791,2023,55000,3,dark purple
792,2023,145000,1,pink
793,2023,115000,1,pink
794,2023,225000,0,light pink
795,2023,166000,0,light pink
796,2023,135000,1,pink
797,2023,100000,3,dark purple
798,2023,105000,1,pink
799,2023,95000,3,dark purple
800,2023,289800,2,purple
801,2023,214200,0,light pink
802,2023,167500,0,light pink
803,2023,106500,1,pink
804,2023,220000,0,light pink
805,2023,146000,1,pink
806,2023,128000,1,pink
807,2023,81500,3,dark purple
808,2023,206000,0,light pink
809,2023,134000,1,pink
810,2023,370000,2,purple
811,2023,200000,0,light pink
812,2023,175000,0,light pink
813,2023,160000,1,pink
814,2023,240000,2,purple
815,2023,100000,3,dark purple
816,2023,180000,0,light pink
817,2023,160000,1,pink
818,2023,143000,1,pink
819,2023,127000,1,pink
820,2023,249300,2,purple
821,2023,149300,1,pink
822,2023,222200,0,light pink
823,2023,136000,1,pink
824,2023,190000,0,light pink
825,2023,160000,1,pink
826,2023,248100,2,purple
827,2023,145900,1,pink
828,2023,170200,0,light pink
829,2023,83900,3,dark purple
830,2023,100000,3,dark purple
831,2023,75000,3,dark purple
832,2023,166000,0,light pink
833,2023,90000,3,dark purple
834,2023,160000,1,pink
835,2023,94100,3,dark purple
836,2023,226600,0,light pink
837,2023,140100,1,pink
838,2023,247600,2,purple
839,2023,127300,1,pink
840,2023,222200,0,light pink
841,2023,136000,1,pink
842,2023,260000,2,purple
843,2023,136000,1,pink
844,2023,222200,0,light pink
845,2023,136000,1,pink
846,2023,156000,1,pink
847,2023,124000,1,pink
848,2023,200000,0,light pink
849,2023,132600,1,pink
850,2023,308000,2,purple
851,2023,190400,0,light pink
852,2023,155000,1,pink
853,2023,136000,1,pink
854,2023,160000,1,pink
855,2023,75000,3,dark purple
856,2023,214500,0,light pink
857,2023,132600,1,pink
858,2023,111000,1,pink
859,2023,104000,1,pink
860,2023,260000,2,purple
861,2023,136000,1,pink
862,2023,85000,3,dark purple
863,2023,75000,3,dark purple
864,2023,180250,0,light pink
865,2023,118000,1,pink
866,2023,212800,0,light pink
867,2023,111600,1,pink
868,2023,157500,1,pink
869,2023,132500,1,pink
870,2023,85000,3,dark purple
871,2023,75000,3,dark purple
872,2023,93918,3,dark purple
873,2023,51962,3,dark purple
874,2023,171000,0,light pink
875,2023,152000,1,pink
876,2023,223600,0,light pink
877,2023,115000,1,pink
878,2023,166000,0,light pink
879,2023,73100,3,dark purple
880,2023,140000,1,pink
881,2023,110000,1,pink
882,2023,130900,1,pink
883,2023,72700,3,dark purple
884,2023,333500,2,purple
885,2023,144000,1,pink
886,2023,180000,0,light pink
887,2023,118200,1,pink
888,2023,354200,2,purple
889,2023,221800,0,light pink
890,2023,166000,0,light pink
891,2023,73000,3,dark purple
892,2023,156600,1,pink
893,2023,137200,1,pink
894,2023,149000,1,pink
895,2023,65300,3,dark purple
896,2023,187000,0,light pink
897,2023,180000,0,light pink
898,2023,119636,1,pink
899,2023,70374,3,dark purple
900,2023,105000,1,pink
901,2023,67000,3,dark purple
902,2023,102000,3,dark purple
903,2023,94770,3,dark purple
904,2023,186000,0,light pink
905,2023,81800,3,dark purple
906,2023,133000,1,pink
907,2023,58400,3,dark purple
908,2023,169900,0,light pink
909,2023,164100,0,light pink
910,2023,305600,2,purple
911,2023,172500,0,light pink
912,2023,105000,1,pink
913,2023,75000,3,dark purple
914,2023,37573,3,dark purple
915,2022,36940,3,dark purple
916,2023,180240,0,light pink
917,2023,120160,1,pink
918,2023,212000,0,light pink
919,2023,93400,3,dark purple
920,2023,275000,2,purple
921,2023,170000,0,light pink
922,2023,119000,1,pink
923,2023,71400,3,dark purple
924,2023,115950,1,pink
925,2023,69570,3,dark purple
926,2023,225100,0,light pink
927,2023,140900,1,pink
928,2023,116000,1,pink
929,2023,90000,3,dark purple
930,2023,212000,0,light pink
931,2023,93300,3,dark purple
932,2023,179000,0,light pink
933,2023,144000,1,pink
934,2023,250800,2,purple
935,2023,167200,0,light pink
936,2023,144000,1,pink
937,2023,76000,3,dark purple
938,2023,230000,0,light pink
939,2023,180000,0,light pink
940,2023,156450,1,pink
941,2023,119200,1,pink
942,2023,150000,1,pink
943,2023,130000,1,pink
944,2023,247500,2,purple
945,2023,172200,0,light pink
946,2023,155000,1,pink
947,2023,125000,1,pink
948,2023,175000,0,light pink
949,2023,97500,3,dark purple
950,2023,220000,0,light pink
951,2023,185000,0,light pink
952,2023,100000,3,dark purple
953,2023,75000,3,dark purple
954,2023,303050,2,purple
955,2023,202350,0,light pink
956,2023,21593,3,dark purple
957,2023,201650,0,light pink
958,2023,124600,1,pink
959,2023,198200,0,light pink
960,2023,110200,1,pink
961,2023,212000,0,light pink
962,2023,93400,3,dark purple
963,2023,145000,1,pink
964,2023,110000,1,pink
965,2023,89500,3,dark purple
966,2023,65000,3,dark purple
967,2023,328400,2,purple
968,2023,205600,0,light pink
969,2023,184800,0,light pink
970,2023,161900,1,pink
971,2023,85000,3,dark purple
972,2023,61800,3,dark purple
973,2023,70748,3,dark purple
974,2023,67056,3,dark purple
975,2023,116000,1,pink
976,2023,72500,3,dark purple
977,2023,215000,0,light pink
978,2023,169850,0,light pink
979,2023,225000,0,light pink
980,2023,180000,0,light pink
981,2023,147400,1,pink
982,2023,107682,1,pink
983,2023,225300,0,light pink
984,2023,197400,0,light pink
985,2023,160000,1,pink
986,2023,136000,1,pink
987,2023,204600,0,light pink
988,2023,126500,1,pink
989,2023,210000,0,light pink
990,2023,115000,1,pink
991,2023,86500,3,dark purple
992,2023,40400,3,dark purple
993,2023,260000,2,purple
994,2023,136000,1,pink
995,2023,329700,2,purple
996,2023,192351,0,light pink
997,2023,280000,2,purple
998,2023,160000,1,pink
999,2023,106700,1,pink
1000,2023,97000,3,dark purple
1001,2023,175000,0,light pink
1002,2023,150000,1,pink
1003,2023,145000,1,pink
1004,2023,120000,1,pink
1005,2023,88000,3,dark purple
1006,2023,60000,3,dark purple
1007,2023,123000,1,pink
1008,2023,93593,3,dark purple
1009,2023,276000,2,purple
1010,2023,174000,0,light pink
1011,2023,185900,0,light pink
1012,2023,129300,1,pink
